Date,Experiment,Block,Plot,Treatment,Treatment2,Species,Sample_ID,Aboveground_Biomass,MC Count,Total Count,Ratio_Colonized,Perc_MC_Colonized,Notes,Notes2
11/23/21,Pplots,,F1,Control,0,Dichanthelium_oligosanthes,DO_Pplots_F1,0.21,6,43,0.139534884,13.95348837,first sample,"AP_Change_F48- why is there two of these? really barky, practically useless"
11/30/21,Pplots,,E5,10,10,Dichanthelium_oligosanthes,DO_Pplots_E5,0.41,31,122,0.254098361,25.40983607,,Removed: DO_Change_C19
12/2/21,Pplots,,C5,Control,0,Dichanthelium_oligosanthes,DO_Pplots_C5,0.11,71,132,0.537878788,53.78787879,,Removed all missing values 
12/2/21,Pplots,,A5,Control,0,Dichanthelium_oligosanthes,DO_Pplots_A5,0.18,88,173,0.50867052,50.86705202,,
11/29/21,Pplots,,D6,Control,0,Dichanthelium_oligosanthes,DO_Pplots_D6,0.26,19,71,0.267605634,26.76056338,confident,
11/30/21,Pplots,,C6,Control,0,Dichanthelium_oligosanthes,DO_Pplots_C6,0.36,84,132,0.636363636,63.63636364,,
12/2/21,Pplots,,B6,10,10,Dichanthelium_oligosanthes,DO_Pplots_B6,0.53,58,102,0.568627451,56.8627451,,
11/30/21,Pplots,,D7,10,10,Dichanthelium_oligosanthes,DO_Pplots_D7,0.53,62,117,0.52991453,52.99145299,,
11/30/21,Pplots,,C7,10,10,Dichanthelium_oligosanthes,DO_Pplots_C7,0.24,26,140,0.185714286,18.57142857,,
11/29/21,Pplots,,B7,10,10,Dichanthelium_oligosanthes,DO_Pplots_B7,0.29,3,28,0.107142857,10.71428571,really small sample,
11/30/21,Pplots,,F8,Control,0,Dichanthelium_oligosanthes,DO_Pplots_F8,0.42,42,73,0.575342466,57.53424658,,
11/30/21,Pplots,,E8,10,10,Dichanthelium_oligosanthes,DO_Pplots_E8,0.33,38,92,0.413043478,41.30434783,,
12/3/21,Change,A,A2,20,20,Dichanthelium_oligosanthes,DO_Change_A2,0.51,45,67,0.671641791,67.1641791,,
