Date,Experiment,Block,Plot,Treatment,Treatment2,Species,Sample_ID,Aboveground_Biomass,MC Count,Total Count,Ratio_Colonized,Perc_MC_Colonized,Notes,Notes2,Log_Perc_MC_Colonized,Log_Aboveground_Biomass,Sqrt_Perc_MC_Colonized,Sqrt_Aboveground_Biomass,Recip_Perc_MC_Colonized
11/23/21,Pplots,,F1,Control,0,Dichanthelium_oligosanthes,DO_Pplots_F1,0.21,6,43,0.139534884,13.9534884,first sample,"AP_Change_F48- why is there two of these? really barky, practically useless",1.144682796,-0.677780705,3.735436842,0.458257569,0.071666667
11/30/21,Pplots,,E5,10,10,Dichanthelium_oligosanthes,DO_Pplots_E5,0.41,31,122,0.254098361,25.4098361,,,1.405001864,-0.387216143,5.040817007,0.640312424,0.039354839
12/2/21,Pplots,,C5,Control,0,Dichanthelium_oligosanthes,DO_Pplots_C5,0.11,71,132,0.537878788,53.7878788,,,1.730684418,-0.958607315,7.334022007,0.331662479,0.018591549
12/2/21,Pplots,,A5,Control,0,Dichanthelium_oligosanthes,DO_Pplots_A5,0.18,88,173,0.50867052,50.867052,,,1.706436569,-0.744727495,7.132114133,0.424264069,0.019659091
11/29/21,Pplots,,D6,Control,0,Dichanthelium_oligosanthes,DO_Pplots_D6,0.26,19,71,0.267605634,26.7605634,confident,,1.427495253,-0.585026652,5.173061318,0.509901951,0.037368421
11/30/21,Pplots,,C6,Control,0,Dichanthelium_oligosanthes,DO_Pplots_C6,0.36,84,132,0.636363636,63.6363636,,,1.803705355,-0.443697499,7.97724035,0.6,0.015714286
12/2/21,Pplots,,B6,10,10,Dichanthelium_oligosanthes,DO_Pplots_B6,0.53,58,102,0.568627451,56.8627451,,,1.754827822,-0.27572413,7.540739029,0.728010989,0.017586207
11/30/21,Pplots,,D7,10,10,Dichanthelium_oligosanthes,DO_Pplots_D7,0.53,62,117,0.52991453,52.991453,,,1.724205828,-0.27572413,7.279522855,0.728010989,0.018870968
11/30/21,Pplots,,C7,10,10,Dichanthelium_oligosanthes,DO_Pplots_C7,0.24,26,140,0.185714286,18.5714286,,,1.268845313,-0.619788758,4.30945804,0.489897949,0.053846154
11/29/21,Pplots,,B7,10,10,Dichanthelium_oligosanthes,DO_Pplots_B7,0.29,3,28,0.107142857,10.7142857,really small sample,,1.029963223,-0.537602002,3.273268351,0.538516481,0.093333333
11/30/21,Pplots,,F8,Control,0,Dichanthelium_oligosanthes,DO_Pplots_F8,0.42,42,73,0.575342466,57.5342466,,,1.75992643,-0.37675071,7.585133262,0.64807407,0.017380952
11/30/21,Pplots,,E8,10,10,Dichanthelium_oligosanthes,DO_Pplots_E8,0.33,38,92,0.413043478,41.3043478,,,1.615995769,-0.48148606,6.426845867,0.574456265,0.024210526
12/3/21,Change,A,A2,20,20,Dichanthelium_oligosanthes,DO_Change_A2,0.51,45,67,0.671641791,67.1641791,,,1.827137711,-0.292429824,8.19537547,0.714142843,0.014888889
12/2/21,Change,A,A3,10,10,Dichanthelium_oligosanthes,DO_Change_A3,0.43,20,34,0.588235294,58.8235294,,,1.769551079,-0.366531544,7.669649888,0.655743852,0.017
12/3/21,Change,A,A6,Control,0,Dichanthelium_oligosanthes,DO_Change_A6,0.11,56,77,0.727272727,72.7272727,,,1.861697302,-0.958607315,8.528028653,0.331662479,0.01375
12/3/21,Change,A,A8,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_A8,0.05,42,83,0.506024096,50.6024096,,,1.704171198,-1.301029996,7.113537067,0.223606798,0.019761905
11/30/21,Change,B,B9,Control,0,Dichanthelium_oligosanthes,DO_Change_B9,0.66,27,62,0.435483871,43.5483871,,,1.638972075,-0.180456064,6.599120176,0.81240384,0.022962963
12/5/21,Change,B,B10,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_B10,0.24,34,60,0.566666667,56.6666667,,,1.753327667,-0.619788758,7.527726529,0.489897949,0.017647059
12/2/21,Change,B,B12,20,20,Dichanthelium_oligosanthes,DO_Change_B12,0.57,28,38,0.736842105,73.6842105,barky,,1.867374435,-0.244125144,8.583950751,0.754983444,0.013571429
12/3/21,Change,B,B15,10,10,Dichanthelium_oligosanthes,DO_Change_B15,0.09,54,83,0.65060241,65.060241,,,1.813315668,-1.045757491,8.065992871,0.3,0.01537037
12/3/21,Change,C,C18,20,20,Dichanthelium_oligosanthes,DO_Change_C18,1.35,43,67,0.641791045,64.1791045,,,1.807393653,0.130333768,8.011186211,1.161895004,0.015581395
12/2/21,Change,C,C21,Control,0,Dichanthelium_oligosanthes,DO_Change_C21,0.07,13,40,0.325,32.5,,,1.511883361,-1.15490196,5.700877125,0.264575131,0.030769231
12/3/21,Change,C,C22,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_C22,0.09,35,69,0.507246377,50.7246377,,,1.705218954,-1.045757491,7.122123117,0.3,0.019714286
12/3/21,Change,D,D25,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_D25,0.01,50,66,0.757575758,75.7575758,,,1.879426069,-2,8.7038828,0.1,0.0132
12/3/21,Change,D,D30,Control,0,Dichanthelium_oligosanthes,DO_Change_D30,0.08,30,56,0.535714286,53.5714286,,,1.728933228,-1.096910013,7.319250549,0.282842712,0.018666667
11/30/21,Change,D,D31,10,10,Dichanthelium_oligosanthes,DO_Change_D31,0.03,39,72,0.541666667,54.1666667,,,1.733732111,-1.522878745,7.359800724,0.173205081,0.018461538
11/30/21,Change,D,D32,20,20,Dichanthelium_oligosanthes,DO_Change_D32,0.14,7,12,0.583333333,58.3333333,,,1.765916794,-0.853871964,7.637626156,0.374165739,0.017142857
12/3/21,Change,E,E33,Control,0,Dichanthelium_oligosanthes,DO_Change_E33,0.21,43,76,0.565789474,56.5789474,,,1.752654864,-0.677780705,7.521897859,0.458257569,0.017674419
12/2/21,Change,E,E34,20,20,Dichanthelium_oligosanthes,DO_Change_E34,0.16,57,84,0.678571429,67.8571429,,,1.83159557,-0.795880017,8.237544713,0.4,0.014736842
12/3/21,Change,E,E37,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_E37,0.29,56,91,0.615384615,61.5384615,,,1.789146634,-0.537602002,7.844645403,0.538516481,0.01625
12/2/21,Change,E,E40,10,10,Dichanthelium_oligosanthes,DO_Change_E40,0.15,43,66,0.651515152,65.1515152,,,1.81392452,-0.823908741,8.071648853,0.387298335,0.015348837
12/3/21,Change,F,F41,20,20,Dichanthelium_oligosanthes,DO_Change_F41,0.63,60,84,0.714285714,71.4285714,,,1.853871964,-0.200659451,8.451542546,0.793725393,0.014
12/3/21,Change,F,F44,10,10,Dichanthelium_oligosanthes,DO_Change_F44,0.11,41,66,0.621212121,62.1212121,,,1.793239921,-0.958607315,7.881701092,0.331662479,0.016097561
12/2/21,Change,F,F48,2.5,2.5,Dichanthelium_oligosanthes,DO_Change_F48,0.18,13,27,0.481481482,48.1481482,small sample,,1.682579589,-0.744727495,6.938886669,0.424264069,0.020769231
1/1/22,Pplots,,F1,Control,0,Ambrosia_psilostachya,AP_Pplots_F1,0.09,1,14,0.071428571,7.1428571,small sample,,0.853871962,-1.045757491,2.672612411,0.3,0.140000001
1/4/22,Pplots,,E5,10,10,Ambrosia_psilostachya,AP_Plots_E5,1.81,22,52,0.423076923,42.3076923,,,1.626419337,0.257678575,6.504436355,1.345362405,0.023636364
1/4/22,Pplots,,C5,Control,0,Ambrosia_psilostachya,AP_Pplots_C5,0.53,23,52,0.442307692,44.2307692,,,1.645724492,-0.27572413,6.650621715,0.728010989,0.022608696
1/4/22,Pplots,,D6,Control,0,Ambrosia_psilostachya,AP_Pplots_D6,0.02,22,34,0.647058824,64.7058824,,,1.810943764,-1.698970004,8.043996668,0.141421356,0.015454545
,Pplots,,C6,Control,0,Ambrosia_psilostachya,AP_Pplots_C6,0.03,3,28,0.107142857,10.7142857,,,1.029963223,-1.522878745,3.273268351,0.173205081,0.093333333
,Pplots,,B6,10,10,Ambrosia_psilostachya,AP_Pplots_B6,1.73,4,50,0.08,8,,,0.903089987,0.238046103,2.828427125,1.315294644,0.125
1/4/22,Pplots,,D7,10,10,Ambrosia_psilostachya,AP_Pplots_D7,0.58,14,47,0.29787234,29.787234,,,1.474030177,-0.236572006,5.457768225,0.761577311,0.033571429
1/4/22,Pplots,,C7,10,10,Ambrosia_psilostachya,AP_Pplots_C7,1.06,16,32,0.5,50,,,1.698970004,0.025305865,7.071067812,1.029563014,0.02
,Pplots,,B7,10,10,Ambrosia_psilostachya,AP_Pplots_B7,1.01,6,82,0.073170732,7.3170732,,,0.8643374,0.004321374,2.705008909,1.004987562,0.136666666
1/1/22,Pplots,,F8,Control,0,Ambrosia_psilostachya,AP_Pplots_F8,0.04,7,18,0.388888889,38.8888889,small sample,,1.589825535,-1.397940009,6.236095646,0.2,0.025714286
12/14/21,Pplots,,E8,10,10,Ambrosia_psilostachya,AP_Pplots_E8,0.57,21,35,0.6,60,,,1.77815125,-0.244125144,7.745966692,0.754983444,0.016666667
,Change,A,A2,20,20,Ambrosia_psilostachya,AP_Change_A2,0.94,2,48,0.041666667,4.1666667,,,0.619788762,-0.026872146,2.04124146,0.969535971,0.239999998
1/4/22,Change,A,A3,10,10,Ambrosia_psilostachya,AP_Change_A3,0.77,12,29,0.413793103,41.3793103,,,1.616783248,-0.113509275,6.432675206,0.877496439,0.024166667
1/4/22,Change,A,A6,Control,0,Ambrosia_psilostachya,AP_Change_A6,0.22,3,18,0.166666667,16.6666667,,,1.22184875,-0.657577319,4.082482909,0.469041576,0.06
1/4/22,Change,A,A8,2.5,2.5,Ambrosia_psilostachya,AP_Change_A8,0.57,1,10,0.1,10,,,1,-0.244125144,3.16227766,0.754983444,0.1
1/4/22,Change,B,B9,Control,0,Ambrosia_psilostachya,AP_Change_B9,0.39,2,18,0.111111111,11.1111111,,,1.04575749,-0.408935393,3.333333332,0.6244998,0.09
12/14/21,Change,B,B10,2.5,2.5,Ambrosia_psilostachya,AP_Change_B10,0.37,4,15,0.266666667,26.6666667,,,1.425968733,-0.431798276,5.163977798,0.608276253,0.0375
,Change,B,B12,20,20,Ambrosia_psilostachya,AP_Change_B12,0.52,5,59,0.084745763,8.4745763,,,0.928117994,-0.283996656,2.911112554,0.721110255,0.118
,Change,B,B15,10,10,Ambrosia_psilostachya,AP_Change_B15,1.05,4,41,0.097560976,9.7560976,,,0.989276136,0.021189299,3.123475244,1.024695077,0.1025
,Change,C,C18,20,20,Ambrosia_psilostachya,AP_Change_C18,1.9,4,51,0.078431373,7.8431373,,,0.894489818,0.278753601,2.800560176,1.378404875,0.127499999
,Change,C,C19,10,10,Ambrosia_psilostachya,AP_Change_C19,0.86,4,35,0.114285714,11.4285714,,,1.057991946,-0.065501549,3.380617015,0.92736185,0.0875
1/1/22,Change,C,C21,Control,0,Ambrosia_psilostachya,AP_Change_C21,0.09,5,24,0.208333333,20.8333333,,,1.318758762,-1.045757491,4.564354642,0.3,0.048
